timestamp,x,y,z
0.000,-4.520,-8.798,-0.435
0.020,-4.517,-8.683,-0.382
0.039,-4.512,-8.477,-0.432
0.058,-4.469,-8.293,-0.545
0.078,-4.477,-8.315,-0.461
0.097,-4.565,-8.528,-0.411
0.116,-4.594,-8.643,-0.502
0.136,-4.508,-8.585,-0.497
0.155,-4.407,-8.559,-0.368
0.174,-4.340,-8.571,-0.382
0.194,-4.424,-8.480,-0.576
0.213,-4.532,-8.446,-0.540
0.232,-4.498,-8.568,-0.480
0.252,-4.496,-8.564,-0.554
0.271,-4.302,-8.568,-0.518
0.289,-4.098,-8.549,-0.578
0.310,-3.998,-8.547,-0.585
0.329,-3.993,-8.566,-0.755
0.349,-4.034,-8.623,-0.777
0.368,-4.103,-8.623,-0.818
0.387,-4.149,-8.662,-0.799
0.407,-4.012,-8.829,-0.466
0.426,-4.050,-8.887,-0.516
0.445,-4.187,-8.822,-0.198
0.465,-4.354,-8.607,-0.133
0.484,-4.410,-8.456,-0.200
0.503,-4.357,-8.465,-0.289
0.523,-4.204,-8.592,-0.365
0.542,-4.019,-8.628,-0.358
0.561,-3.876,-8.592,-0.423
0.581,-3.823,-8.604,-0.392
0.600,-3.864,-8.662,-0.341
0.620,-3.991,-8.667,-0.346
0.639,-4.046,-8.635,-0.281
0.658,-4.062,-8.568,-0.229
0.678,-3.981,-8.494,-0.243
0.697,-3.907,-8.480,-0.224
0.716,-3.952,-8.410,-0.154
0.736,-4.010,-8.362,-0.193
0.755,-4.019,-8.401,-0.308
0.774,-4.024,-8.341,-0.214
0.794,-4.019,-8.264,-0.188
0.813,-3.919,-8.183,-0.336
0.832,-3.871,-8.020,-0.339
0.852,-3.825,-7.994,-0.427
0.871,-3.665,-7.975,-0.463
0.890,-3.411,-7.886,-0.492
0.910,-3.181,-7.690,-0.530
0.929,-3.057,-7.232,-0.652
0.949,-2.915,-6.545,-0.593
0.968,-2.683,-5.743,-0.250
0.987,-2.544,-5.003,-0.353
1.007,-2.250,-4.563,-0.638
1.026,-1.831,-4.524,-1.007
1.045,-1.809,-4.587,-0.320
1.065,-1.970,-4.840,-0.530
1.084,-2.520,-5.044,-0.813
1.103,-3.399,-5.166,-0.913
1.123,-4.244,-5.453,-0.686
1.142,-4.153,-6.141,0.134
1.161,-3.435,-6.586,1.255
1.181,-2.923,-6.864,1.985
1.200,-2.980,-6.873,0.819
1.219,-2.791,-6.624,-0.432
1.239,-2.554,-5.889,-1.244
1.258,-2.635,-5.063,-2.309
1.278,-3.296,-4.599,-2.422
1.297,-3.284,-5.133,-2.470
1.316,-2.537,-5.980,-2.187
1.336,-2.877,-5.968,-2.659
1.355,-3.595,-5.142,-3.518
1.374,-3.665,-4.321,-2.654
1.394,-3.859,-4.374,-3.542
1.413,-4.900,-4.900,-5.379
1.432,-6.663,-5.180,-8.113
1.452,-8.923,-5.523,-5.879
1.471,-13.635,-6.976,1.990
1.490,-20.370,-9.378,0.632
1.510,-17.020,-9.337,-2.752
1.529,-12.390,-5.324,-2.661
1.548,-14.494,-3.775,-3.772
1.568,-32.492,-4.103,-7.036
1.587,-58.168,3.953,-11.484
1.607,-28.170,2.610,-2.510
1.626,3.749,-13.659,5.689
1.645,1.070,-13.070,4.248
1.665,-9.416,-1.046,4.020
1.684,-16.462,7.436,-0.775
1.703,-10.328,7.508,-1.112
1.723,-0.502,5.344,5.193
1.742,-1.922,3.546,7.727
1.761,-9.665,4.633,6.872
1.781,-13.074,7.480,4.650
1.800,-7.991,7.774,6.019
1.819,-4.862,4.654,10.523
1.839,-6.873,3.941,5.701
1.858,-9.737,6.134,4.537
1.878,-7.091,6.041,5.373
1.897,-4.520,5.545,6.829
1.916,-5.180,5.389,4.985
1.936,-6.672,4.635,4.760
1.955,-6.052,3.258,5.282
1.974,-5.307,3.553,6.201
1.994,-5.501,4.918,6.474
2.013,-5.640,5.516,6.422
2.032,-5.810,5.136,6.486
2.052,-6.177,4.458,5.883
2.071,-7.000,4.597,5.402
2.090,-8.137,5.016,4.597
2.110,-8.066,4.920,4.135
2.129,-7.096,4.410,5.306
2.148,-6.490,4.558,6.395
2.168,-7.067,5.116,5.361
2.187,-8.525,4.353,3.896
2.207,-9.234,3.373,4.753
2.226,-8.343,2.875,5.833
2.245,-6.768,3.783,5.083
2.265,-6.174,4.666,5.174
2.284,-7.635,4.901,6.285
2.303,-7.627,2.612,6.879
2.323,-6.519,0.617,7.547
2.342,-6.208,2.066,6.022
2.361,-6.433,4.393,5.327
2.381,-7.812,5.950,5.813
2.400,-7.745,4.499,6.594
2.419,-8.303,3.519,6.453
2.439,-8.090,3.852,4.990
2.458,-7.864,3.699,4.877
2.477,-8.157,3.378,6.553
2.497,-7.884,2.882,6.929
2.516,-7.323,2.370,6.671
2.536,-6.888,2.466,5.083
2.555,-7.462,2.933,5.141
2.574,-8.669,3.493,5.842
2.594,-7.994,3.661,5.464
2.613,-6.598,3.697,6.096
2.632,-6.406,3.541,6.232
2.652,-7.139,2.765,5.797
2.671,-7.103,2.035,6.120
2.690,-6.648,2.428,6.833
2.710,-6.057,2.777,7.178
2.729,-6.550,2.571,6.898
2.748,-6.773,1.855,7.233
2.768,-6.545,2.078,6.999
2.787,-6.150,3.069,6.699
2.806,-6.464,3.412,6.642
2.826,-7.156,3.029,6.774
2.845,-7.082,2.959,6.687
2.865,-6.816,3.503,6.790
2.884,-6.737,3.931,6.103
2.903,-7.173,3.876,5.464
2.923,-7.407,3.337,6.072
2.942,-7.019,2.717,6.321
2.961,-7.089,2.844,6.735
2.981,-7.163,3.163,6.517
3.000,-7.335,2.950,6.321
3.019,-7.438,2.483,6.237
3.039,-7.422,2.624,6.051
3.058,-6.979,3.222,6.316
3.077,-6.552,3.732,6.560
3.097,-6.651,3.761,6.563
3.116,-7.050,3.498,6.431
3.135,-7.108,3.392,6.407
3.155,-6.976,3.634,6.486
3.174,-6.828,3.900,6.376
3.194,-6.830,3.958,6.177
3.213,-6.964,3.697,6.247
3.232,-7.003,3.464,6.458
3.252,-6.928,3.577,6.302
3.271,-6.897,3.785,6.027
3.290,-6.873,3.773,6.027
3.310,-6.928,3.680,6.197
3.329,-6.998,3.550,6.352
3.348,-7.017,3.517,6.206
3.368,-6.976,3.522,6.328
3.387,-6.871,3.500,6.390
3.406,-6.957,3.553,6.285
3.426,-6.926,3.579,6.197
3.445,-6.770,3.598,6.400
3.464,-6.734,3.759,6.357
3.484,-6.670,3.799,6.221
3.503,-6.909,3.634,6.209
3.522,-7.019,3.450,6.407
3.542,-6.871,3.424,6.637
3.561,-6.667,3.596,6.549
3.581,-6.636,3.749,6.386
3.599,-6.864,3.665,6.141
3.619,-7.012,3.493,6.295
3.639,-6.847,3.668,6.460
3.658,-6.720,3.929,6.393
3.677,-6.804,3.833,6.237
3.697,-7.058,3.431,6.331
3.716,-6.935,3.321,6.386
3.735,-6.675,3.682,6.532
3.755,-6.478,3.941,6.295
3.774,-6.663,3.845,6.192
3.793,-7.012,3.641,6.326
3.813,-6.967,3.498,6.558
3.832,-6.777,3.768,6.498
3.851,-6.694,3.874,6.232
3.871,-6.763,3.661,6.326
