label,timestamp,x,y,z
falling_right_pocket,0.000,-9.898,-2.267,1.876
falling_right_pocket,0.020,-10.082,-2.240,2.105
falling_right_pocket,0.040,-9.738,-2.161,2.333
falling_right_pocket,0.059,-9.278,-2.216,2.302
falling_right_pocket,0.079,-9.070,-2.320,1.995
falling_right_pocket,0.098,-9.185,-2.391,1.648
falling_right_pocket,0.118,-9.362,-2.355,1.490
falling_right_pocket,0.138,-9.520,-2.018,1.756
falling_right_pocket,0.157,-9.295,-1.745,2.105
falling_right_pocket,0.177,-9.127,-1.783,2.223
falling_right_pocket,0.197,-9.142,-1.975,2.233
falling_right_pocket,0.216,-9.197,-1.946,2.364
falling_right_pocket,0.236,-9.271,-1.826,2.563
falling_right_pocket,0.255,-9.355,-1.975,2.575
falling_right_pocket,0.275,-9.383,-2.240,2.445
falling_right_pocket,0.295,-9.300,-2.185,2.479
falling_right_pocket,0.314,-8.991,-1.620,2.723
falling_right_pocket,0.334,-8.792,-1.292,2.920
falling_right_pocket,0.353,-8.914,-1.951,2.948
falling_right_pocket,0.373,-9.142,-2.623,2.706
falling_right_pocket,0.393,-9.319,-2.980,2.141
falling_right_pocket,0.412,-9.254,-3.074,1.610
falling_right_pocket,0.432,-9.020,-2.908,1.397
falling_right_pocket,0.451,-8.881,-2.367,1.550
falling_right_pocket,0.471,-8.993,-1.759,2.050
falling_right_pocket,0.490,-9.156,-1.266,2.479
falling_right_pocket,0.510,-9.249,-1.048,2.551
falling_right_pocket,0.530,-9.424,-1.082,2.335
falling_right_pocket,0.549,-9.345,-1.615,2.424
falling_right_pocket,0.569,-9.187,-2.176,2.642
falling_right_pocket,0.589,-9.285,-2.504,2.369
falling_right_pocket,0.608,-9.360,-2.700,1.823
falling_right_pocket,0.628,-9.348,-2.564,1.509
falling_right_pocket,0.648,-9.285,-2.183,1.854
falling_right_pocket,0.666,-9.099,-2.168,2.546
falling_right_pocket,0.687,-8.936,-2.204,2.934
falling_right_pocket,0.706,-8.881,-2.130,2.788
falling_right_pocket,0.726,-8.917,-2.121,2.345
falling_right_pocket,0.746,-8.921,-2.262,2.026
falling_right_pocket,0.765,-9.111,-2.418,1.933
falling_right_pocket,0.785,-9.400,-2.420,1.921
falling_right_pocket,0.804,-9.592,-2.375,1.979
falling_right_pocket,0.824,-9.606,-2.317,2.148
falling_right_pocket,0.844,-9.386,-2.094,2.367
falling_right_pocket,0.863,-9.257,-2.015,2.764
falling_right_pocket,0.883,-9.118,-2.082,2.850
falling_right_pocket,0.902,-8.857,-2.250,2.498
falling_right_pocket,0.922,-8.744,-2.499,2.343
falling_right_pocket,0.942,-9.005,-2.712,2.615
falling_right_pocket,0.961,-9.429,-2.590,2.987
falling_right_pocket,0.981,-9.563,-2.317,3.180
falling_right_pocket,1.000,-9.395,-2.214,3.389
falling_right_pocket,1.020,-9.101,-2.425,3.547
falling_right_pocket,1.040,-8.797,-2.619,3.688
falling_right_pocket,1.059,-8.507,-2.803,3.760
falling_right_pocket,1.079,-8.301,-2.767,3.516
falling_right_pocket,1.098,-8.292,-2.212,2.862
falling_right_pocket,1.118,-8.119,-1.596,2.522
falling_right_pocket,1.138,-7.772,-1.395,2.908
falling_right_pocket,1.157,-7.492,-1.663,3.839
falling_right_pocket,1.177,-7.576,-1.915,4.698
falling_right_pocket,1.197,-8.021,-1.764,4.962
falling_right_pocket,1.216,-8.579,-1.874,4.461
falling_right_pocket,1.236,-8.907,-2.439,3.461
falling_right_pocket,1.255,-8.881,-3.198,2.984
falling_right_pocket,1.275,-8.778,-3.600,3.133
falling_right_pocket,1.295,-8.725,-3.411,3.556
falling_right_pocket,1.314,-8.821,-2.743,3.631
falling_right_pocket,1.334,-8.929,-2.463,3.425
falling_right_pocket,1.353,-8.989,-2.320,3.027
falling_right_pocket,1.373,-8.967,-2.188,2.757
falling_right_pocket,1.393,-8.756,-2.159,3.037
falling_right_pocket,1.412,-8.625,-2.192,3.374
falling_right_pocket,1.432,-8.646,-2.066,3.360
falling_right_pocket,1.451,-8.589,-1.848,3.255
falling_right_pocket,1.471,-8.452,-1.778,3.283
falling_right_pocket,1.491,-8.493,-2.032,3.233
falling_right_pocket,1.510,-8.572,-2.226,3.159
falling_right_pocket,1.530,-8.610,-2.288,3.360
falling_right_pocket,1.549,-8.601,-2.334,3.554
falling_right_pocket,1.569,-8.661,-2.437,3.516
falling_right_pocket,1.589,-8.754,-2.604,3.303
falling_right_pocket,1.608,-8.802,-2.848,3.173
falling_right_pocket,1.628,-8.924,-3.093,3.202
falling_right_pocket,1.648,-9.027,-3.117,3.235
falling_right_pocket,1.667,-8.989,-3.019,3.252
falling_right_pocket,1.687,-8.847,-2.949,3.250
falling_right_pocket,1.706,-8.751,-2.803,3.082
falling_right_pocket,1.726,-8.680,-2.674,2.936
falling_right_pocket,1.746,-8.503,-2.724,2.941
falling_right_pocket,1.765,-8.438,-2.769,3.087
falling_right_pocket,1.785,-8.515,-2.686,3.200
falling_right_pocket,1.804,-8.510,-2.621,3.247
