timestamp_ms,ax_g,ay_g,az_g,label
1824,0.1887,-0.3751,0.9084,1
1834,0.2072,-0.3737,0.9018,1
1844,0.2433,-0.3666,0.8713,1
1854,0.2926,-0.3556,0.8305,1
1864,0.3224,-0.3353,0.8064,1
1874,0.319,-0.3163,0.8266,1
1884,0.2804,-0.3024,0.8864,1
1894,0.2341,-0.3029,0.9384,1
1904,0.2018,-0.3124,0.9538,1
1914,0.1887,-0.338,0.936,1
1924,0.1813,-0.3707,0.9094,1
1934,0.1816,-0.4,0.874,1
1944,0.2028,-0.4164,0.8325,1
1954,0.2172,-0.4159,0.8152,1
1964,0.2109,-0.4093,0.8425,1
1974,0.196,-0.3978,0.9013,1
1984,0.1865,-0.389,0.9421,1
1994,0.196,-0.3856,0.953,1
2004,0.2079,-0.3844,0.9528,1
2014,0.2275,-0.389,0.945,1
2024,0.2511,-0.3917,0.9281,1
2034,0.2707,-0.3934,0.9059,1
2044,0.2912,-0.3944,0.8742,1
2054,0.287,-0.3912,0.8601,1
2064,0.2575,-0.3922,0.873,1
2074,0.2133,-0.3973,0.8984,1
2084,0.1752,-0.4003,0.9191,1
2094,0.1535,-0.4061,0.9218,1
2104,0.1567,-0.4095,0.9008,1
2114,0.1769,-0.4078,0.871,1
2124,0.2045,-0.3929,0.8481,1
2134,0.2238,-0.3678,0.8525,1
2144,0.225,-0.3422,0.8806,1
2154,0.2223,-0.3234,0.9135,1
2164,0.216,-0.317,0.9321,1
2174,0.2089,-0.3322,0.9279,1
2184,0.2157,-0.3583,0.8998,1
2194,0.2209,-0.3893,0.8554,1
2204,0.2258,-0.4105,0.8298,1
2214,0.2272,-0.4159,0.8259,1
2224,0.2128,-0.4037,0.8625,1
2234,0.1982,-0.39,0.9033,1
2244,0.1999,-0.3695,0.9177,1
2254,0.217,-0.3544,0.9045,1
2264,0.2384,-0.3436,0.8793,1
2274,0.2448,-0.3456,0.8623,1
2284,0.2436,-0.3532,0.8479,1
2294,0.2333,-0.3588,0.8583,1
2304,0.214,-0.3627,0.8764,1
2314,0.1923,-0.3758,0.895,1
2324,0.1779,-0.3888,0.9091,1
2334,0.1743,-0.402,0.9072,1
2344,0.1948,-0.4112,0.8828,1
2354,0.2131,-0.4064,0.871,1
2364,0.2204,-0.4078,0.8769,1
2374,0.2294,-0.4122,0.8776,1
2384,0.2287,-0.4144,0.8896,1
2394,0.2126,-0.4173,0.9218,1
2404,0.193,-0.4122,0.9682,1
2414,0.1974,-0.3961,0.984,1
2424,-1.5695,3.0856,6.1315,1
2434,1.8348,4.8094,1.4441,1
2444,1.2845,-0.1259,-0.4347,1
2454,-1.5075,-2.6285,2.3259,1
2464,-4.3359,-2.1001,5.4979,1
2474,-2.7117,-3.1056,2.2321,1
2484,-0.615,-2.599,-0.5723,1
2494,-0.1269,-2.64,-0.8857,1
2504,-0.6973,-2.5699,0.193,1
2514,-0.7768,-2.1492,0.8859,1
2524,-0.35,-1.6545,1.0512,1
2534,0.0227,-1.1864,1.0089,1
2544,0.0098,-0.9008,1.3587,1
2554,-0.5269,-0.546,2.3212,1
2564,-0.4781,-0.2665,2.4447,1
2574,-0.2914,-0.1169,2.4037,1
2584,0.0173,0.2204,2.177,1
2594,0.2709,0.5289,1.9117,1
2604,0.4056,0.6961,1.8277,1
2614,0.4127,0.7776,1.8692,1
2624,0.5818,0.8542,1.6386,1
2634,0.7983,1.0001,1.2044,1
2644,0.9133,0.9335,0.812,1
2654,0.791,0.8095,0.6802,1
2664,0.4876,0.5816,0.7122,1
2674,0.2362,0.4032,0.7668,1
2684,-0.1938,0.2162,1.0182,1
2694,-0.3893,-0.1799,1.1105,1
2704,-0.4025,-0.349,1.0414,1
2714,-0.3575,-0.6548,1.0538,1
2724,-0.1694,-0.8003,1.005,1
2734,0.0444,-0.9443,0.9291,1
2744,0.1674,-1.0941,0.9523,1
2754,0.2204,-1.1683,1.0289,1
2764,0.2567,-1.23,1.0948,1
2774,0.3158,-1.2342,1.0983,1
2784,0.3912,-1.1829,1.0507,1
2794,0.4193,-1.0917,1.0192,1
2804,0.3729,-0.9772,1.0231,1
