timestamp,x,y,z
0.000,-0.591,-0.557,10.027
0.020,-0.883,-0.310,9.675
0.039,-0.454,-0.138,9.302
0.058,-0.138,-0.157,9.510
0.078,-0.660,-0.284,9.632
0.097,-0.658,-0.231,9.544
0.117,0.055,-0.057,9.213
0.136,-0.117,0.005,9.553
0.155,-0.399,-0.296,10.250
0.175,-0.818,-0.143,9.884
0.194,-0.794,-0.109,9.743
0.213,-0.490,0.074,9.582
0.233,-0.205,0.198,9.189
0.252,-0.478,0.400,9.211
0.272,-0.131,0.227,10.260
0.291,-0.203,-0.009,10.796
0.310,-0.667,0.119,10.111
0.330,-0.576,0.249,9.199
0.349,-0.301,0.438,8.821
0.368,0.026,0.402,9.393
0.388,0.017,0.201,10.197
0.407,-0.205,0.119,10.466
0.427,-0.169,0.160,9.958
0.446,-0.162,0.206,9.534
0.465,-0.469,0.239,9.326
0.485,-0.528,0.433,9.235
0.504,-0.047,0.464,9.355
0.524,-0.016,0.440,9.242
0.543,-0.708,0.562,9.187
0.562,-0.337,0.402,9.568
0.582,-0.279,0.493,9.738
0.601,-0.442,0.538,9.671
0.620,-0.349,0.713,9.505
0.640,-0.294,0.797,9.295
0.659,-0.409,0.864,9.094
0.679,-0.500,1.041,8.768
0.698,-0.413,1.142,8.488
0.717,-0.416,1.233,8.392
0.737,-0.586,1.216,8.588
0.756,-0.907,1.187,8.701
0.775,-1.010,1.367,8.229
0.795,-0.677,1.525,7.782
0.814,-0.854,1.733,7.645
0.834,-1.144,1.760,7.430
0.853,-0.806,1.659,7.355
0.872,-0.378,1.211,7.949
0.892,-0.885,0.843,8.567
0.911,-0.969,0.893,8.248
0.931,-0.904,1.372,7.473
0.950,-0.318,1.640,6.692
0.969,0.471,1.645,6.750
0.989,0.855,1.372,7.734
1.008,0.134,1.010,8.919
1.027,-0.780,0.799,9.051
1.047,-0.780,1.221,7.712
1.066,-1.259,1.865,6.328
1.086,-1.086,1.803,6.192
1.105,-1.022,1.853,5.758
1.124,-2.171,2.272,3.886
1.144,-1.872,1.539,5.660
