label,timestamp,x,y,z
falling_forwad_hand,0.000,0.182,4.901,8.661
falling_forwad_hand,0.019,0.147,4.874,8.383
falling_forwad_hand,0.037,0.065,4.868,8.114
falling_forwad_hand,0.056,0.093,4.895,8.090
falling_forwad_hand,0.075,0.245,4.985,8.051
falling_forwad_hand,0.094,0.361,5.117,8.083
falling_forwad_hand,0.113,0.410,5.121,8.238
falling_forwad_hand,0.132,0.493,5.136,8.223
falling_forwad_hand,0.151,0.444,5.094,8.064
falling_forwad_hand,0.170,0.439,5.143,7.955
falling_forwad_hand,0.189,0.489,5.207,7.969
falling_forwad_hand,0.208,0.480,5.212,8.033
falling_forwad_hand,0.227,0.354,5.159,8.136
falling_forwad_hand,0.245,0.236,5.139,8.199
falling_forwad_hand,0.264,0.195,5.207,8.193
falling_forwad_hand,0.283,0.266,5.319,8.359
falling_forwad_hand,0.302,0.367,5.340,8.456
falling_forwad_hand,0.321,0.410,5.280,8.201
falling_forwad_hand,0.340,0.463,5.308,7.817
falling_forwad_hand,0.359,0.635,5.318,7.363
falling_forwad_hand,0.378,0.599,5.362,7.150
falling_forwad_hand,0.397,0.284,5.446,7.425
falling_forwad_hand,0.416,0.120,5.415,7.682
falling_forwad_hand,0.434,0.185,5.322,7.598
falling_forwad_hand,0.453,0.213,5.346,7.570
falling_forwad_hand,0.472,0.122,5.409,7.622
falling_forwad_hand,0.491,-0.051,5.401,7.631
falling_forwad_hand,0.510,-0.248,5.368,7.694
falling_forwad_hand,0.529,-0.342,5.399,7.737
falling_forwad_hand,0.548,-0.193,5.371,7.769
falling_forwad_hand,0.567,0.045,5.453,7.686
falling_forwad_hand,0.586,0.124,5.620,8.906
falling_forwad_hand,0.605,0.353,5.434,9.003
falling_forwad_hand,0.623,0.386,5.176,8.620
falling_forwad_hand,0.642,0.703,4.954,8.127
falling_forwad_hand,0.661,0.741,5.172,7.955
falling_forwad_hand,0.680,0.709,5.304,8.317
falling_forwad_hand,0.699,0.687,5.097,8.892
falling_forwad_hand,0.718,0.861,4.960,9.529
falling_forwad_hand,0.737,1.067,5.043,9.118
falling_forwad_hand,0.756,0.908,5.136,8.290
falling_forwad_hand,0.775,0.532,5.198,7.924
falling_forwad_hand,0.794,0.498,5.361,7.893
falling_forwad_hand,0.813,0.705,5.703,8.327
falling_forwad_hand,0.831,0.922,5.606,9.520
falling_forwad_hand,0.850,1.027,4.761,10.878
falling_forwad_hand,0.869,1.222,3.984,11.244
falling_forwad_hand,0.888,1.167,3.854,10.722
falling_forwad_hand,0.907,0.805,3.849,10.433
falling_forwad_hand,0.926,0.761,3.470,10.313
falling_forwad_hand,0.945,0.629,2.946,10.276
falling_forwad_hand,0.964,0.498,2.599,9.935
falling_forwad_hand,0.983,0.616,2.784,8.981
falling_forwad_hand,1.002,0.842,3.538,7.980
falling_forwad_hand,1.020,0.988,3.915,7.369
falling_forwad_hand,1.039,1.065,4.089,7.013
falling_forwad_hand,1.058,0.954,4.292,7.121
falling_forwad_hand,1.077,0.928,4.370,7.609
falling_forwad_hand,1.096,0.711,4.112,8.387
falling_forwad_hand,1.115,0.457,3.811,9.478
falling_forwad_hand,1.134,0.345,3.589,10.312
falling_forwad_hand,1.153,0.307,3.470,10.432
falling_forwad_hand,1.172,0.026,3.450,9.721
falling_forwad_hand,1.191,-0.127,3.656,8.554
falling_forwad_hand,1.209,-0.138,3.915,7.930
falling_forwad_hand,1.228,0.156,4.016,7.704
falling_forwad_hand,1.247,0.572,4.264,7.748
falling_forwad_hand,1.266,0.829,4.294,7.896
falling_forwad_hand,1.285,0.927,4.193,8.185
falling_forwad_hand,1.304,1.115,4.113,8.432
falling_forwad_hand,1.323,1.199,4.016,8.741
falling_forwad_hand,1.342,1.232,3.721,8.888
falling_forwad_hand,1.361,1.482,3.886,8.501
falling_forwad_hand,1.380,1.631,4.347,7.959
falling_forwad_hand,1.399,1.563,4.171,7.798
falling_forwad_hand,1.417,1.362,3.266,7.597
falling_forwad_hand,1.436,1.339,3.793,7.819
falling_forwad_hand,1.455,1.831,4.436,7.657
falling_forwad_hand,1.474,2.136,4.278,7.621
falling_forwad_hand,1.493,2.234,3.972,7.555
falling_forwad_hand,1.512,2.059,3.850,7.813
falling_forwad_hand,1.531,1.571,3.047,8.186
falling_forwad_hand,1.550,1.249,2.594,9.132
falling_forwad_hand,1.569,1.305,2.847,9.710
falling_forwad_hand,1.588,1.598,2.843,7.773
falling_forwad_hand,1.606,1.121,2.631,6.371
falling_forwad_hand,1.625,0.837,2.237,6.238
falling_forwad_hand,1.644,1.127,2.118,5.999
falling_forwad_hand,1.663,1.851,2.028,5.496
falling_forwad_hand,1.682,2.327,2.133,5.031
falling_forwad_hand,1.701,2.323,1.248,5.880
falling_forwad_hand,1.720,2.375,0.171,6.463
falling_forwad_hand,1.739,2.826,0.116,5.127
falling_forwad_hand,1.758,1.911,0.194,4.326
falling_forwad_hand,1.777,0.818,0.166,5.642
