label,timestamp,x,y,z
falling_forwad_hand,0.000,0.396,6.271,5.242
falling_forwad_hand,0.020,0.890,6.149,5.529
falling_forwad_hand,0.040,1.102,6.065,5.745
falling_forwad_hand,0.059,0.904,6.381,6.848
falling_forwad_hand,0.079,0.348,5.916,6.944
falling_forwad_hand,0.098,0.210,5.782,6.693
falling_forwad_hand,0.118,-0.305,5.098,6.906
falling_forwad_hand,0.138,-1.148,5.516,7.688
falling_forwad_hand,0.157,-1.287,4.753,6.601
falling_forwad_hand,0.177,-1.550,5.076,7.327
falling_forwad_hand,0.196,-1.102,4.688,8.203
falling_forwad_hand,0.216,-1.351,4.365,7.138
falling_forwad_hand,0.236,-2.438,4.609,6.204
falling_forwad_hand,0.255,-3.587,3.989,5.512
falling_forwad_hand,0.275,-5.326,4.090,5.541
falling_forwad_hand,0.295,-5.129,3.963,5.464
falling_forwad_hand,0.314,-4.823,3.769,5.251
falling_forwad_hand,0.334,-4.921,3.441,7.011
falling_forwad_hand,0.353,-4.885,3.070,10.525
falling_forwad_hand,0.373,-4.193,1.782,11.828
falling_forwad_hand,0.393,-4.787,2.261,8.428
falling_forwad_hand,0.412,-4.423,2.004,7.811
falling_forwad_hand,0.432,-3.243,2.452,9.647
falling_forwad_hand,0.451,-1.576,2.775,9.712
falling_forwad_hand,0.471,-1.189,2.847,8.967
falling_forwad_hand,0.491,-1.184,2.706,9.350
falling_forwad_hand,0.510,-0.834,2.710,7.959
falling_forwad_hand,0.530,-0.700,3.204,6.592
falling_forwad_hand,0.549,-0.834,3.558,5.962
falling_forwad_hand,0.569,-0.564,3.517,6.556
falling_forwad_hand,0.589,-0.030,3.230,7.729
falling_forwad_hand,0.608,0.545,3.403,9.436
falling_forwad_hand,0.628,0.732,3.141,9.886
falling_forwad_hand,0.647,0.617,2.330,8.251
falling_forwad_hand,0.667,0.322,2.495,7.123
falling_forwad_hand,0.687,-0.205,2.972,6.226
falling_forwad_hand,0.706,-0.209,3.120,6.298
falling_forwad_hand,0.726,0.827,3.000,6.669
falling_forwad_hand,0.745,1.383,2.802,5.895
falling_forwad_hand,0.765,1.342,2.950,6.223
falling_forwad_hand,0.785,0.739,3.326,7.097
falling_forwad_hand,0.804,0.614,2.301,7.921
falling_forwad_hand,0.824,1.371,2.009,7.789
falling_forwad_hand,0.844,2.137,3.232,9.333
falling_forwad_hand,0.863,2.941,3.082,11.663
falling_forwad_hand,0.883,2.379,3.094,12.718
falling_forwad_hand,0.902,0.878,3.031,11.507
falling_forwad_hand,0.922,-0.008,3.290,9.597
