label,timestamp,x,y,z
falling_left_hand,0.000,-0.345,6.303,7.237
falling_left_hand,0.020,-0.600,6.068,7.690
falling_left_hand,0.040,-0.526,6.093,7.990
falling_left_hand,0.061,0.059,6.403,7.193
falling_left_hand,0.081,0.840,6.770,6.931
falling_left_hand,0.101,0.876,6.969,7.341
falling_left_hand,0.121,0.211,6.321,8.121
falling_left_hand,0.141,-0.692,5.906,8.221
falling_left_hand,0.161,-1.192,5.924,7.632
falling_left_hand,0.181,-0.614,6.350,7.206
falling_left_hand,0.202,-0.170,6.516,6.582
falling_left_hand,0.222,-0.309,6.497,6.306
falling_left_hand,0.242,-0.311,6.410,6.617
falling_left_hand,0.262,-0.318,6.193,6.910
falling_left_hand,0.282,-0.148,6.046,7.378
falling_left_hand,0.302,0.008,5.906,7.293
falling_left_hand,0.323,-0.087,5.986,6.806
falling_left_hand,0.343,-0.111,6.157,6.413
falling_left_hand,0.363,0.091,6.235,6.227
falling_left_hand,0.383,0.557,6.372,6.115
falling_left_hand,0.403,0.855,6.567,6.163
falling_left_hand,0.423,0.781,6.698,6.179
falling_left_hand,0.443,0.537,6.812,5.881
falling_left_hand,0.464,0.612,7.075,5.650
falling_left_hand,0.484,1.196,7.415,5.720
falling_left_hand,0.504,1.531,7.557,6.167
falling_left_hand,0.524,1.141,7.396,6.636
falling_left_hand,0.544,0.836,7.187,6.882
falling_left_hand,0.564,1.490,7.159,6.840
falling_left_hand,0.584,1.930,7.147,6.676
falling_left_hand,0.605,1.516,6.907,6.050
falling_left_hand,0.625,0.472,6.563,5.058
falling_left_hand,0.645,-0.321,6.453,4.372
falling_left_hand,0.665,-0.280,6.490,5.337
falling_left_hand,0.685,-0.526,5.745,6.278
falling_left_hand,0.705,-1.804,4.576,6.506
falling_left_hand,0.726,-3.045,4.195,6.412
falling_left_hand,0.746,-2.028,5.297,7.749
falling_left_hand,0.766,0.986,6.192,9.534
falling_left_hand,0.786,2.648,6.363,10.737
falling_left_hand,0.806,2.237,6.190,11.314
falling_left_hand,0.826,1.940,7.073,9.496
falling_left_hand,0.846,1.477,7.898,7.529
falling_left_hand,0.867,1.015,8.407,6.448
falling_left_hand,0.887,3.563,8.985,6.835
falling_left_hand,0.907,6.773,9.142,8.426
falling_left_hand,0.927,6.948,8.757,9.629
falling_left_hand,0.947,5.344,7.381,9.722
falling_left_hand,0.967,0.839,5.286,6.708
falling_left_hand,0.988,-2.187,5.541,1.690
falling_left_hand,1.008,-0.906,6.112,0.600
falling_left_hand,1.028,-0.255,5.956,3.226
falling_left_hand,1.048,1.167,6.940,5.226
falling_left_hand,1.068,0.065,6.923,6.255
falling_left_hand,1.088,0.127,6.240,4.396
falling_left_hand,1.108,1.530,6.398,1.337
falling_left_hand,1.129,-5.322,4.425,0.325
falling_left_hand,1.149,-8.932,2.984,1.726
falling_left_hand,1.169,-8.242,2.031,2.966
falling_left_hand,1.189,-4.837,1.255,3.397
falling_left_hand,1.209,-5.171,0.785,2.263
falling_left_hand,1.229,-4.998,1.004,0.876
falling_left_hand,1.249,-4.391,0.535,0.557
falling_left_hand,1.270,-2.776,0.981,-0.718
falling_left_hand,1.290,-6.743,1.844,-1.290
falling_left_hand,1.310,-10.323,1.370,-4.354
falling_left_hand,1.330,-6.985,0.934,-9.801
falling_left_hand,1.350,-1.873,2.183,-3.986
falling_left_hand,1.370,-4.609,1.090,-1.866
falling_left_hand,1.391,-12.275,-0.921,-3.149
falling_left_hand,1.411,-8.325,0.798,0.549
falling_left_hand,1.431,14.615,-3.221,5.153
falling_left_hand,1.451,32.456,-0.399,18.726
falling_left_hand,1.471,25.030,7.168,38.547
falling_left_hand,1.491,10.127,7.474,41.971
falling_left_hand,1.511,11.934,1.521,29.206
falling_left_hand,1.532,32.543,1.538,20.629
falling_left_hand,1.552,25.150,-1.613,-2.526
falling_left_hand,1.572,12.829,-4.192,-25.215
falling_left_hand,1.592,10.781,-2.811,-32.892
falling_left_hand,1.612,22.324,-2.775,-9.974
falling_left_hand,1.632,27.988,-6.192,17.403
falling_left_hand,1.652,19.715,-12.970,19.251
falling_left_hand,1.673,11.845,-16.770,-1.331
falling_left_hand,1.693,12.876,-15.655,-18.631
falling_left_hand,1.713,18.045,-9.380,-24.523
falling_left_hand,1.733,15.712,-6.688,-19.816
falling_left_hand,1.753,9.950,-6.372,-9.738
falling_left_hand,1.773,6.559,-7.421,-6.107
falling_left_hand,1.794,7.233,-6.156,-2.815
falling_left_hand,1.814,16.255,-3.479,1.945
falling_left_hand,1.834,18.018,-2.981,4.620
falling_left_hand,1.854,11.541,-6.126,2.773
falling_left_hand,1.874,7.664,-6.724,0.617
falling_left_hand,1.894,6.922,-6.103,0.455
falling_left_hand,1.914,6.539,-4.821,2.088
falling_left_hand,1.935,6.384,-3.642,1.943
