label,timestamp,x,y,z
falling_left_hand,0.000,-0.267,7.038,6.208
falling_left_hand,0.020,0.139,7.111,6.418
falling_left_hand,0.040,0.351,7.061,6.689
falling_left_hand,0.061,0.273,6.958,6.797
falling_left_hand,0.081,0.376,6.996,6.798
falling_left_hand,0.101,0.733,7.102,6.630
falling_left_hand,0.121,1.038,7.148,6.992
falling_left_hand,0.141,0.730,7.090,7.244
falling_left_hand,0.161,0.490,6.943,7.542
falling_left_hand,0.181,0.356,6.865,7.354
falling_left_hand,0.202,0.262,6.923,7.394
falling_left_hand,0.222,0.115,6.803,7.330
falling_left_hand,0.242,-0.151,6.731,7.063
falling_left_hand,0.262,-0.196,6.757,6.956
falling_left_hand,0.282,0.068,6.856,7.060
falling_left_hand,0.302,0.212,6.935,6.978
falling_left_hand,0.322,0.079,6.931,6.761
falling_left_hand,0.343,-0.224,6.878,6.776
falling_left_hand,0.363,-0.164,6.892,6.926
falling_left_hand,0.383,0.086,6.998,6.625
falling_left_hand,0.403,0.126,7.081,6.647
falling_left_hand,0.423,0.244,7.154,6.374
falling_left_hand,0.443,0.239,7.202,6.453
falling_left_hand,0.464,0.249,7.159,6.595
falling_left_hand,0.484,0.220,7.078,6.671
falling_left_hand,0.504,0.138,7.056,6.698
falling_left_hand,0.524,0.126,7.007,6.819
falling_left_hand,0.544,0.156,6.992,6.867
falling_left_hand,0.564,0.213,7.023,6.874
falling_left_hand,0.584,0.202,7.014,6.846
falling_left_hand,0.605,0.095,7.020,6.746
falling_left_hand,0.625,0.090,7.020,6.712
falling_left_hand,0.645,0.268,7.063,6.753
falling_left_hand,0.665,0.340,7.132,6.755
falling_left_hand,0.685,0.271,7.145,6.826
falling_left_hand,0.705,0.150,7.102,6.659
falling_left_hand,0.726,0.152,7.125,6.730
falling_left_hand,0.746,0.261,7.122,6.789
falling_left_hand,0.766,0.157,7.093,6.708
falling_left_hand,0.785,0.019,7.095,6.563
falling_left_hand,0.806,0.002,7.127,6.551
falling_left_hand,0.826,0.119,7.117,6.799
falling_left_hand,0.846,0.249,7.086,6.956
falling_left_hand,0.867,0.232,7.097,6.848
falling_left_hand,0.887,0.212,7.137,6.737
falling_left_hand,0.907,0.290,7.184,6.570
falling_left_hand,0.927,0.219,7.150,6.576
falling_left_hand,0.947,0.101,7.065,6.671
falling_left_hand,0.967,0.160,7.111,6.707
falling_left_hand,0.987,0.236,7.166,6.691
falling_left_hand,1.008,0.199,7.150,6.618
falling_left_hand,1.028,0.200,7.132,6.601
falling_left_hand,1.048,0.181,7.127,6.589
