label,timestamp,x,y,z
falling_left_hand,0.000,-0.341,5.596,7.487
falling_left_hand,0.020,-0.353,5.535,7.645
falling_left_hand,0.039,-0.374,5.519,7.787
falling_left_hand,0.059,-0.367,5.634,7.976
falling_left_hand,0.079,-0.147,5.792,8.186
falling_left_hand,0.098,0.088,5.892,8.376
falling_left_hand,0.118,0.183,5.947,8.424
falling_left_hand,0.138,0.145,6.019,8.510
falling_left_hand,0.157,0.253,6.132,8.383
falling_left_hand,0.177,0.456,6.247,8.098
falling_left_hand,0.196,0.614,6.292,7.813
falling_left_hand,0.216,0.567,6.342,7.657
falling_left_hand,0.236,0.461,6.199,7.545
falling_left_hand,0.255,0.255,6.077,7.595
falling_left_hand,0.275,0.171,6.079,7.394
falling_left_hand,0.294,0.305,6.127,7.155
falling_left_hand,0.314,0.262,6.072,7.150
falling_left_hand,0.333,0.071,6.024,7.239
falling_left_hand,0.353,0.025,5.947,7.263
falling_left_hand,0.373,0.066,5.923,7.214
falling_left_hand,0.392,0.157,6.017,7.349
falling_left_hand,0.412,0.174,6.098,7.437
falling_left_hand,0.432,0.124,6.120,7.440
falling_left_hand,0.451,-0.013,6.098,7.485
falling_left_hand,0.471,-0.025,6.077,7.387
falling_left_hand,0.490,0.054,6.177,7.236
falling_left_hand,0.510,0.097,6.285,7.444
falling_left_hand,0.530,0.107,6.228,7.676
falling_left_hand,0.549,0.021,6.153,7.643
falling_left_hand,0.569,-0.130,6.204,7.732
falling_left_hand,0.589,-0.054,6.139,7.856
falling_left_hand,0.608,0.085,6.144,7.971
falling_left_hand,0.628,0.131,6.141,7.988
falling_left_hand,0.647,0.097,6.108,7.923
falling_left_hand,0.667,0.071,6.096,7.777
falling_left_hand,0.687,0.102,6.168,7.722
falling_left_hand,0.706,0.219,6.153,7.729
falling_left_hand,0.726,0.200,6.175,7.779
falling_left_hand,0.745,0.162,6.134,7.767
falling_left_hand,0.765,0.078,6.079,7.792
falling_left_hand,0.785,-0.032,6.007,7.787
falling_left_hand,0.804,-0.018,5.983,7.816
falling_left_hand,0.824,0.083,5.998,7.746
falling_left_hand,0.843,0.138,6.034,7.621
falling_left_hand,0.863,0.078,6.036,7.609
falling_left_hand,0.883,-0.011,5.940,7.657
falling_left_hand,0.902,-0.083,5.921,7.789
falling_left_hand,0.922,-0.054,5.940,7.804
falling_left_hand,0.941,0.071,6.022,7.653
falling_left_hand,0.961,0.145,6.031,7.645
falling_left_hand,0.981,0.167,5.971,7.586
falling_left_hand,1.000,0.159,5.978,7.509
falling_left_hand,1.020,0.265,6.137,7.394
falling_left_hand,1.040,0.499,6.206,7.265
falling_left_hand,1.059,0.638,6.187,7.399
falling_left_hand,1.079,0.904,5.871,7.356
falling_left_hand,1.098,1.282,5.263,7.052
falling_left_hand,1.118,1.139,5.189,7.059
falling_left_hand,1.138,0.413,5.777,7.686
falling_left_hand,1.157,-1.363,6.527,7.519
falling_left_hand,1.177,-1.028,5.385,8.792
falling_left_hand,1.196,-0.559,5.011,9.367
falling_left_hand,1.216,-0.715,4.647,7.586
falling_left_hand,1.236,-1.296,5.538,7.361
falling_left_hand,1.255,-1.813,5.854,9.008
falling_left_hand,1.275,-0.899,5.378,7.823
falling_left_hand,1.294,-0.394,5.181,7.155
falling_left_hand,1.314,-1.708,5.622,7.377
falling_left_hand,1.334,-2.091,5.730,5.481
falling_left_hand,1.353,-3.367,6.790,7.667
falling_left_hand,1.373,-2.014,5.842,6.927
falling_left_hand,1.392,-1.236,5.533,6.511
falling_left_hand,1.412,-1.083,5.952,5.778
falling_left_hand,1.432,-1.162,6.335,5.239
falling_left_hand,1.451,-1.085,5.777,4.473
falling_left_hand,1.471,-1.016,5.553,5.831
falling_left_hand,1.491,-1.105,5.550,6.937
falling_left_hand,1.510,-0.377,4.434,6.247
falling_left_hand,1.530,0.435,3.802,6.899
falling_left_hand,1.549,1.275,4.059,6.477
falling_left_hand,1.569,1.981,4.640,3.633
falling_left_hand,1.589,1.562,5.318,3.523
falling_left_hand,1.608,1.565,5.959,7.157
falling_left_hand,1.628,2.379,5.124,8.024
falling_left_hand,1.647,1.612,4.444,6.580
falling_left_hand,1.667,0.744,4.370,6.558
falling_left_hand,1.686,-0.279,5.052,7.866
falling_left_hand,1.706,0.624,6.170,8.594
falling_left_hand,1.726,2.630,7.563,10.121
falling_left_hand,1.745,3.679,8.085,11.014
falling_left_hand,1.765,3.262,7.432,10.985
falling_left_hand,1.785,1.833,7.597,10.657
falling_left_hand,1.804,0.291,8.780,10.255
falling_left_hand,1.824,-0.310,9.843,10.133
falling_left_hand,1.843,0.325,9.524,9.680
falling_left_hand,1.862,0.487,7.767,9.487
falling_left_hand,1.883,-1.162,7.496,9.513
falling_left_hand,1.902,-1.464,7.231,9.075
falling_left_hand,1.922,0.547,6.907,7.861
falling_left_hand,1.941,2.094,5.734,6.252
falling_left_hand,1.961,1.086,5.332,5.843
falling_left_hand,1.981,0.451,4.839,6.432
falling_left_hand,2.000,1.787,3.917,7.437
falling_left_hand,2.020,4.490,3.189,7.959
falling_left_hand,2.040,4.014,2.955,8.127
falling_left_hand,2.059,0.516,3.453,8.797
falling_left_hand,2.079,0.241,2.529,8.366
falling_left_hand,2.098,2.690,1.846,5.814
falling_left_hand,2.118,4.624,1.959,2.381
falling_left_hand,2.138,2.740,2.857,1.902
falling_left_hand,2.157,3.315,3.307,3.066
falling_left_hand,2.177,11.931,0.111,1.378
falling_left_hand,2.196,9.125,-1.347,1.739
falling_left_hand,2.216,0.607,5.193,4.753
falling_left_hand,2.236,8.072,5.785,-1.898
falling_left_hand,2.255,7.751,7.446,-7.212
falling_left_hand,2.275,0.332,10.410,-7.526
falling_left_hand,2.294,-4.097,10.796,-5.484
falling_left_hand,2.314,-0.930,9.936,-1.301
falling_left_hand,2.334,3.028,6.220,1.423
falling_left_hand,2.353,-0.032,8.320,5.819
falling_left_hand,2.373,1.754,13.604,6.594
falling_left_hand,2.392,9.535,16.283,3.611
falling_left_hand,2.412,11.186,13.709,10.301
falling_left_hand,2.432,6.944,8.693,20.066
falling_left_hand,2.451,6.494,7.034,19.384
falling_left_hand,2.471,10.100,7.525,4.720
falling_left_hand,2.491,6.841,9.168,-8.194
falling_left_hand,2.510,0.942,8.093,-11.713
falling_left_hand,2.530,0.880,8.686,-11.292
falling_left_hand,2.549,8.783,9.979,-5.766
falling_left_hand,2.569,12.633,10.197,-0.387
falling_left_hand,2.589,11.043,6.644,0.650
falling_left_hand,2.608,8.809,4.082,-2.585
falling_left_hand,2.628,9.439,3.077,-8.603
falling_left_hand,2.647,8.764,3.513,-13.229
falling_left_hand,2.667,6.942,6.180,-12.094
falling_left_hand,2.687,6.293,7.183,-6.176
falling_left_hand,2.706,8.055,5.962,-4.203
falling_left_hand,2.726,14.170,6.455,-3.762
falling_left_hand,2.745,16.652,5.660,-4.311
falling_left_hand,2.765,13.339,6.829,-5.591
falling_left_hand,2.785,8.532,8.037,-7.021
falling_left_hand,2.804,5.958,6.639,-7.725
falling_left_hand,2.824,7.035,5.634,-7.112
falling_left_hand,2.843,8.663,5.203,-6.374
falling_left_hand,2.863,8.335,5.301,-5.812
falling_left_hand,2.883,6.037,5.401,-5.014
falling_left_hand,2.902,4.158,4.954,-3.272
falling_left_hand,2.922,4.105,4.875,-2.161
falling_left_hand,2.942,4.308,4.834,-2.405
falling_left_hand,2.961,4.382,3.264,-3.281
falling_left_hand,2.981,3.942,2.466,-3.023
falling_left_hand,3.000,3.343,3.302,-2.386
falling_left_hand,3.020,2.841,4.037,-2.087
falling_left_hand,3.040,3.319,4.530,-1.993
falling_left_hand,3.059,5.043,5.675,-2.058
falling_left_hand,3.079,7.176,6.045,-2.194
falling_left_hand,3.098,7.679,5.763,-1.356
falling_left_hand,3.118,7.385,6.204,0.410
falling_left_hand,3.138,8.189,6.718,1.521
falling_left_hand,3.157,10.001,6.275,1.945
falling_left_hand,3.177,10.389,5.294,2.295
falling_left_hand,3.196,8.275,6.814,4.361
falling_left_hand,3.216,8.891,4.291,4.672
falling_left_hand,3.236,10.595,1.715,3.669
falling_left_hand,3.255,11.170,0.621,1.866
falling_left_hand,3.275,10.914,0.060,3.101
falling_left_hand,3.294,9.884,1.212,5.203
falling_left_hand,3.314,12.602,1.710,3.666
falling_left_hand,3.334,15.546,2.126,2.026
falling_left_hand,3.353,16.269,2.763,1.287
falling_left_hand,3.373,15.147,2.734,1.440
falling_left_hand,3.392,12.795,2.818,1.607
falling_left_hand,3.412,10.995,2.569,2.699
falling_left_hand,3.432,9.465,2.610,4.423
falling_left_hand,3.451,8.546,2.771,5.522
falling_left_hand,3.471,8.309,2.811,5.666
falling_left_hand,3.491,8.065,2.790,5.474
falling_left_hand,3.510,7.516,3.259,5.603
falling_left_hand,3.530,7.907,3.371,6.053
falling_left_hand,3.549,8.211,3.070,6.798
falling_left_hand,3.569,7.787,3.812,5.912
falling_left_hand,3.589,6.954,3.577,4.725
falling_left_hand,3.608,8.132,2.457,2.474
falling_left_hand,3.628,9.592,1.578,1.347
falling_left_hand,3.647,9.087,1.051,-0.542
falling_left_hand,3.667,9.412,0.582,-2.230
falling_left_hand,3.687,10.468,1.710,-2.915
falling_left_hand,3.706,10.420,3.110,-2.898
falling_left_hand,3.726,10.404,2.952,-3.351
falling_left_hand,3.745,9.654,2.670,-2.817
falling_left_hand,3.765,9.992,1.758,-1.474
falling_left_hand,3.785,10.576,1.365,-0.293
falling_left_hand,3.804,10.521,1.451,0.406
falling_left_hand,3.824,10.124,1.289,1.296
falling_left_hand,3.843,9.724,1.035,3.200
falling_left_hand,3.863,9.336,0.980,4.813
falling_left_hand,3.883,9.310,1.212,4.856
falling_left_hand,3.902,9.178,1.557,3.434
falling_left_hand,3.922,9.113,1.806,2.721
falling_left_hand,3.942,9.386,1.753,2.589
falling_left_hand,3.961,9.578,1.624,2.922
falling_left_hand,3.981,9.817,1.439,3.363
falling_left_hand,4.000,9.619,1.729,2.836
falling_left_hand,4.020,9.362,1.887,1.763
falling_left_hand,4.040,9.278,1.973,1.299
falling_left_hand,4.059,9.903,1.660,2.429
falling_left_hand,4.079,10.140,1.681,3.039
falling_left_hand,4.098,10.037,1.571,2.649
