timestamp,x,y,z
3.720,4.391,-3.586,8.052
3.740,3.325,-4.431,6.455
3.759,1.764,-5.226,5.687
3.778,1.151,-5.257,7.774
3.798,1.329,-4.742,11.974
3.817,2.052,-3.643,12.872
3.837,2.432,-2.180,10.008
3.856,2.353,-1.524,5.667
3.875,0.761,-0.234,2.722
3.895,1.764,0.002,6.027
3.914,0.735,-0.061,19.327
3.934,2.404,-0.296,14.541
3.953,5.523,1.432,9.582
3.972,5.523,3.002,5.507
3.992,9.218,5.100,5.737
4.011,9.728,3.218,4.437
4.030,6.680,2.940,2.059
4.050,5.222,2.459,2.624
4.069,9.680,-0.325,2.047
4.089,11.610,-0.895,2.909
4.108,12.723,5.662,2.435
4.127,5.653,4.707,-0.195
4.147,4.312,2.191,0.764
4.165,8.792,3.012,5.495
4.185,9.086,0.893,9.824
4.205,6.395,2.600,6.465
4.224,7.468,2.808,5.452
4.244,7.769,2.758,5.651
4.263,6.859,2.882,7.288
4.282,7.796,3.297,10.403
4.302,7.623,4.020,8.708
4.321,5.523,3.790,7.554
4.340,6.819,2.044,6.628
4.360,8.286,2.440,4.006
4.379,8.131,3.249,1.353
4.399,7.685,2.617,-0.176
4.418,9.065,1.803,-0.210
4.437,10.166,0.962,3.884
4.457,8.875,2.100,6.848
4.476,7.978,3.835,1.772
4.495,7.307,4.223,0.192
4.515,7.405,3.191,0.156
4.534,9.148,1.453,1.130
4.554,9.835,1.013,4.130
4.573,8.392,2.150,7.473
4.592,7.855,4.053,5.138
4.612,7.331,3.194,3.302
4.631,8.080,1.685,4.465
4.651,9.249,1.367,8.933
4.670,7.609,2.995,5.782
4.689,7.025,3.239,4.808
4.709,7.705,3.361,4.334
4.728,7.879,2.655,4.465
4.747,8.667,1.625,5.837
4.767,8.533,2.528,5.797
4.786,7.791,3.074,4.786
4.806,8.011,2.961,3.431
4.825,8.298,2.440,2.696
4.844,8.784,2.040,2.438
4.864,8.799,2.315,3.000
4.883,8.444,2.739,4.195
4.902,8.605,2.677,4.458
4.922,8.713,2.428,3.276
4.941,8.660,2.440,2.081
4.961,9.065,2.631,1.061
4.980,8.816,2.423,1.169
4.999,8.732,2.576,2.378
5.019,8.856,2.653,2.840
5.038,9.041,2.612,2.497
5.057,8.780,2.452,3.053
5.077,8.784,2.313,3.829
5.096,8.641,2.349,4.037
5.116,8.696,2.526,3.517
5.135,8.801,2.554,2.888
5.154,8.811,2.487,2.880
5.174,8.746,2.497,2.732
5.193,8.859,2.593,2.337
5.212,8.895,2.535,2.454
5.232,8.737,2.423,3.118
5.251,8.763,2.454,3.106
5.271,8.825,2.571,2.763
5.290,8.784,2.559,2.988
5.309,8.837,2.471,3.127
5.329,8.796,2.356,3.462
5.348,8.729,2.282,3.656
5.367,8.777,2.466,3.309
5.387,8.696,2.638,3.010
5.406,8.722,2.535,2.986
5.426,8.765,2.454,2.761
5.445,8.816,2.428,2.919
5.464,8.813,2.368,3.173
5.484,8.863,2.406,3.161
5.503,8.751,2.454,3.276
5.522,8.734,2.425,3.283
5.542,8.701,2.540,3.103
5.561,8.643,2.614,3.206
5.581,8.624,2.535,3.426
5.600,8.720,2.495,3.537
5.619,8.806,2.389,3.297
5.639,8.789,2.293,3.038
5.658,8.696,2.356,2.847
5.677,8.744,2.449,2.689
5.697,8.911,2.495,2.689
5.716,8.899,2.444,2.995
5.736,8.792,2.334,3.271
5.755,8.602,2.447,3.565
5.774,8.689,2.480,3.517
5.794,8.722,2.535,3.371
5.813,8.739,2.526,3.273
5.833,8.634,2.411,3.355
5.852,8.607,2.492,3.690
5.871,8.698,2.420,3.709
5.891,8.854,2.401,3.132
5.910,8.741,2.511,2.852
5.929,8.713,2.497,2.758
5.949,8.607,2.399,2.890
5.968,8.703,2.456,3.141
5.988,8.717,2.554,3.161
6.007,8.698,2.487,3.266
6.026,8.631,2.519,3.369
6.046,8.658,2.437,3.448
6.065,8.830,2.332,3.369
6.084,8.811,2.404,3.362
6.104,8.748,2.428,3.295
6.122,8.768,2.406,3.074
6.143,8.720,2.418,3.223
6.162,8.720,2.449,3.266
6.181,8.739,2.444,3.237
6.201,8.739,2.418,3.374
6.220,8.737,2.392,3.474
6.239,8.686,2.456,3.383
6.259,8.612,2.492,3.326
6.278,8.619,2.480,3.225
6.298,8.753,2.473,3.053
6.317,8.787,2.449,3.134
6.336,8.758,2.444,3.252
6.356,8.626,2.437,3.230
6.375,8.686,2.471,3.192
6.394,8.720,2.430,3.321
6.414,8.890,2.396,3.314
6.433,8.839,2.365,3.259
6.453,8.748,2.365,3.398
6.472,8.713,2.368,3.520
6.491,8.732,2.471,3.314
6.511,8.677,2.492,3.204
6.530,8.648,2.523,3.048
6.549,8.648,2.509,3.034
6.569,8.662,2.452,3.158
6.588,8.756,2.428,3.276
6.608,8.794,2.447,3.390
6.627,8.713,2.437,3.355
6.646,8.772,2.420,3.165
6.666,8.753,2.461,3.146
6.685,8.669,2.430,3.244
6.704,8.717,2.437,3.340
6.724,8.713,2.487,3.292
6.743,8.734,2.466,3.187
6.763,8.689,2.497,3.232
6.782,8.717,2.483,3.204
6.801,8.713,2.511,3.029
6.821,8.693,2.499,3.079
6.840,8.696,2.526,3.151
6.859,8.658,2.509,3.352
6.879,8.660,2.473,3.513
6.898,8.693,2.526,3.407
6.918,8.665,2.519,3.350
6.937,8.586,2.521,3.283
6.956,8.646,2.504,3.206
6.976,8.684,2.471,3.340
6.995,8.799,2.432,3.340
7.014,8.777,2.444,3.220
7.034,8.746,2.425,3.168
7.053,8.746,2.416,3.216
7.073,8.727,2.456,3.230
7.092,8.720,2.480,3.347
7.111,8.672,2.507,3.489
7.131,8.619,2.444,3.498
7.150,8.638,2.471,3.455
7.169,8.717,2.473,3.331
7.189,8.739,2.471,3.225
7.208,8.725,2.468,3.235
7.228,8.717,2.483,3.328
7.247,8.595,2.483,3.431
7.266,8.662,2.456,3.338
7.286,8.748,2.437,3.218
7.305,8.737,2.442,3.216
7.324,8.650,2.440,3.125
7.344,8.593,2.471,2.964
7.363,8.540,2.509,3.027
7.383,8.693,2.504,3.280
7.402,8.806,2.495,3.532
7.421,8.837,2.437,3.663
7.441,8.703,2.365,3.635
7.460,8.727,2.320,3.556
7.480,8.717,2.334,3.422
7.499,8.691,2.406,3.316
7.518,8.720,2.492,3.299
7.538,8.681,2.502,3.352
7.557,8.655,2.399,3.410
7.576,8.622,2.361,3.460
7.596,8.602,2.399,3.249
7.615,8.576,2.492,2.981
7.635,8.600,2.502,2.878
7.654,8.689,2.456,3.034
7.673,8.818,2.444,3.249
7.693,8.839,2.370,3.546
7.712,8.717,2.267,3.738
7.731,8.691,2.305,3.774
7.751,8.696,2.363,3.623
7.770,8.693,2.377,3.635
7.790,8.693,2.377,3.460
7.809,8.701,2.377,3.295
7.828,8.686,2.418,3.197
7.848,8.650,2.399,3.144
7.867,8.552,2.399,3.405
7.886,8.646,2.425,3.522
7.906,8.705,2.428,3.347
7.925,8.619,2.394,3.321
7.945,8.562,2.384,3.311
7.964,8.550,2.440,3.278
7.983,8.624,2.449,3.299
8.003,8.708,2.430,3.424
8.022,8.672,2.375,3.575
8.041,8.672,2.279,3.802
8.061,8.734,2.246,3.786
8.080,8.816,2.217,3.556
8.100,8.799,2.236,3.501
8.119,8.760,2.296,3.498
8.138,8.689,2.363,3.450
8.158,8.588,2.370,3.383
8.177,8.543,2.346,3.510
8.196,8.590,2.351,3.513
8.216,8.605,2.349,3.534
8.235,8.602,2.358,3.446
8.255,8.588,2.325,3.374
8.274,8.610,2.344,3.299
8.293,8.588,2.365,3.309
8.313,8.593,2.382,3.508
8.332,8.634,2.346,3.766
8.351,8.715,2.303,3.975
8.371,8.748,2.217,3.958
8.390,8.753,2.248,3.807
8.410,8.658,2.236,3.596
8.429,8.667,2.267,3.522
8.448,8.681,2.286,3.412
8.468,8.634,2.279,3.402
8.487,8.641,2.293,3.539
8.506,8.600,2.317,3.537
8.526,8.576,2.334,3.546
8.545,8.595,2.332,3.534
8.565,8.677,2.322,3.393
8.584,8.689,2.298,3.419
8.603,8.662,2.282,3.424
8.623,8.614,2.289,3.467
8.642,8.650,2.329,3.419
8.661,8.684,2.313,3.503
8.681,8.708,2.284,3.618
8.700,8.725,2.270,3.606
8.720,8.617,2.282,3.568
8.739,8.576,2.337,3.572
8.758,8.610,2.363,3.534
8.778,8.648,2.353,3.522
8.797,8.686,2.298,3.489
8.816,8.691,2.279,3.575
8.836,8.679,2.267,3.525
8.855,8.641,2.274,3.546
8.875,8.646,2.301,3.477
8.894,8.638,2.322,3.402
8.913,8.658,2.296,3.390
8.933,8.650,2.305,3.455
8.952,8.602,2.317,3.469
8.971,8.622,2.325,3.498
8.991,8.574,2.231,3.477
9.010,8.667,2.267,3.407
9.030,8.698,2.332,3.417
9.049,8.641,2.286,3.453
9.068,8.693,2.284,3.544
9.088,8.729,2.267,3.671
9.107,8.646,2.176,3.862
9.126,8.737,2.150,3.824
9.146,8.751,2.167,3.635
9.165,8.722,2.219,3.491
9.185,8.610,2.200,3.577
9.204,8.588,2.260,3.592
9.223,8.624,2.279,3.572
9.243,8.629,2.270,3.584
9.262,8.607,2.284,3.601
9.281,8.595,2.286,3.611
9.301,8.619,2.267,3.491
9.320,8.636,2.243,3.367
9.340,8.677,2.238,3.290
9.359,8.624,2.250,3.642
9.378,8.598,2.241,3.683
9.398,8.681,2.286,3.659
9.417,8.605,2.205,3.850
9.437,8.658,2.212,3.800
9.456,8.660,2.258,3.560
9.475,8.662,2.303,3.395
9.495,8.622,2.298,3.496
9.514,8.576,2.241,3.747
9.533,8.674,2.229,3.683
9.553,8.734,2.179,3.654
9.572,8.703,2.133,3.697
9.592,8.681,2.176,3.532
9.611,8.667,2.248,3.276
9.630,8.588,2.270,3.220
9.650,8.583,2.313,3.230
9.669,8.571,2.303,3.522
9.688,8.528,2.179,3.668
9.708,8.574,2.224,3.848
9.727,8.832,2.310,3.448
9.747,8.768,2.231,3.101
9.766,8.547,1.841,3.393
