timestamp,x,y,z
0.000,-0.164,-0.198,11.138
0.020,-1.046,-0.255,11.102
0.039,-2.049,-0.193,9.503
0.058,-1.409,0.366,7.118
0.078,-0.172,0.641,6.910
0.097,0.517,0.644,8.363
0.116,0.495,0.100,10.140
0.136,0.067,-0.145,11.009
0.155,-0.607,-0.088,10.425
0.174,-0.919,0.017,9.891
0.194,-0.327,0.074,9.711
0.213,0.158,-0.090,8.957
0.232,0.115,0.033,8.955
0.252,0.141,0.064,9.165
0.271,-0.023,0.007,9.400
0.291,-0.167,-0.085,9.453
0.310,-0.634,-0.059,9.271
0.329,-0.820,-0.002,8.756
0.349,-0.612,0.026,8.749
0.368,-0.703,-0.117,9.359
0.387,-0.955,-0.282,9.580
0.407,-0.830,-0.299,9.379
0.426,-0.413,-0.239,9.405
0.445,-0.272,-0.164,9.642
0.465,-0.504,-0.150,9.259
0.484,-0.904,-0.148,8.967
0.503,-0.935,-0.193,9.297
0.523,-0.583,-0.294,9.604
0.542,-0.172,-0.308,9.601
0.561,-0.358,-0.349,9.527
0.581,-0.909,-0.421,9.376
0.600,-1.211,-0.483,9.460
0.620,-0.995,-0.423,9.225
0.639,-0.792,-0.337,8.529
0.658,-0.995,-0.224,8.351
0.678,-1.120,-0.387,8.579
0.697,-1.381,-0.567,8.576
0.716,-1.402,-0.485,8.569
0.736,-1.103,-0.492,9.027
0.755,-0.993,-0.356,8.912
0.774,-0.995,-0.231,7.794
0.794,-0.919,-0.131,6.625
0.813,-0.852,-0.119,6.319
0.832,-0.895,-0.239,6.663
0.852,-1.034,-0.198,7.260
0.871,-0.701,-0.054,7.130
0.891,0.110,0.129,6.723
0.910,0.740,0.127,6.199
0.929,0.627,0.079,5.478
0.949,-0.009,0.103,5.136
0.968,-0.097,0.141,6.189
0.987,0.673,0.043,7.406
1.007,1.740,-0.114,7.734
1.026,2.258,-0.050,7.233
1.045,1.934,0.112,6.556
1.065,1.424,-0.004,6.730
1.084,0.740,-0.038,6.570
1.103,1.360,0.404,8.138
1.123,2.246,0.744,8.277
1.142,0.905,0.658,7.966
1.162,0.639,1.058,8.524
1.181,3.507,2.502,3.129
1.200,5.880,-1.170,-2.767
1.220,3.014,-1.378,-2.719
1.239,4.005,3.005,7.322
1.258,5.250,0.038,13.291
1.278,-2.185,0.646,21.010
1.297,-0.933,2.720,19.492
1.316,2.734,3.041,13.224
1.336,3.079,5.109,14.857
1.355,-1.172,12.407,1.877
1.374,-45.910,23.648,0.706
1.394,-69.740,-16.031,65.654
1.413,-41.104,-40.489,78.312
1.433,30.908,-33.847,41.910
1.452,27.503,-9.098,-3.669
1.471,-2.549,15.797,-16.084
1.491,-19.280,11.930,-30.291
1.510,5.669,14.801,-19.534
1.529,17.234,-0.581,-21.526
1.549,8.040,2.377,-15.595
1.568,-4.493,-0.581,21.281
1.587,-12.069,1.463,56.436
1.607,-2.578,-0.504,29.670
1.626,-6.059,4.887,2.555
1.645,-5.111,7.623,-2.934
1.665,-2.003,5.188,-3.696
1.684,-0.914,2.392,-5.190
1.704,-2.877,2.825,-5.738
1.723,-4.445,4.343,-4.859
1.742,-4.979,4.671,-3.023
1.762,-4.268,5.557,-0.576
1.781,-1.915,5.705,0.685
1.800,-1.117,3.785,-0.047
1.820,-1.606,0.464,0.050
1.839,-7.390,-0.691,5.232
1.858,-11.983,-0.157,14.191
1.878,-9.742,-3.105,20.335
1.897,-6.414,-3.143,21.941
1.916,-4.802,-2.444,19.308
1.936,-4.122,-1.654,15.120
1.955,-3.773,0.108,11.790
1.975,-2.813,1.271,9.185
1.994,-1.579,1.508,8.014
2.013,-0.212,0.977,8.198
2.033,0.088,0.977,8.162
2.052,-1.881,1.781,7.087
2.071,-4.199,2.183,5.210
2.091,-5.439,2.346,3.625
2.110,-5.585,1.805,5.028
2.129,-4.508,1.499,9.027
2.149,-3.325,0.222,12.355
2.168,-3.045,-0.150,13.748
2.187,-3.442,0.028,12.898
2.207,-3.471,-0.203,10.935
2.226,-2.705,-0.152,10.650
2.246,-2.121,0.534,12.017
2.265,-2.295,1.283,10.667
2.284,-2.734,1.616,7.324
2.304,-2.532,2.021,5.289
2.323,-1.254,1.841,6.580
2.342,0.000,1.980,9.165
2.362,0.139,2.162,10.195
2.381,-0.780,2.444,10.054
2.400,-0.911,2.123,9.666
2.420,-0.864,1.393,10.171
2.439,-1.560,0.984,11.237
2.458,-2.315,1.180,11.342
2.478,-2.877,1.604,10.882
2.497,-2.892,1.659,9.944
2.517,-2.200,1.647,8.778
2.536,-0.653,1.226,9.340
2.555,0.043,1.544,10.552
2.575,0.493,1.726,10.803
2.594,0.136,1.384,10.657
2.613,-1.149,1.489,10.214
2.633,-1.905,1.657,9.714
2.652,-2.145,1.568,9.970
2.671,-2.461,1.120,10.710
2.691,-2.652,0.716,11.124
2.710,-2.575,0.823,10.485
2.729,-2.602,1.257,9.448
2.749,-2.386,1.707,8.670
2.768,-1.886,2.203,8.162
2.788,-1.304,2.317,7.908
2.807,-1.192,2.301,7.887
2.826,-1.714,2.183,8.126
2.846,-2.374,2.097,8.658
2.865,-2.731,2.042,8.897
2.884,-2.659,2.016,9.144
2.904,-2.575,1.882,9.041
2.923,-2.741,1.669,9.132
2.942,-3.030,1.561,9.048
2.962,-2.973,1.618,8.909
2.981,-2.681,1.697,9.060
3.000,-2.789,1.748,9.304
3.020,-2.956,1.566,9.307
3.039,-3.260,1.257,9.359
3.059,-3.524,1.209,9.446
3.078,-3.279,1.060,9.594
3.097,-3.153,1.084,10.044
3.117,-3.210,1.173,10.051
3.136,-3.284,1.278,9.663
3.155,-3.157,1.374,9.168
3.175,-2.930,1.228,8.758
3.194,-2.815,1.180,8.778
3.213,-2.896,1.302,9.161
3.233,-2.762,1.154,9.338
3.252,-3.016,1.034,9.912
3.271,-3.493,1.487,9.697
3.291,-3.339,1.396,8.885
3.310,-2.999,1.343,8.967
3.330,-2.769,1.398,9.352
3.349,-2.772,1.372,9.491
3.368,-2.832,1.436,9.376
3.388,-2.887,1.400,9.230
3.407,-2.760,1.415,9.125
3.426,-2.769,1.441,9.199
3.446,-2.872,1.410,9.261
