label,timestamp,x,y,z
falling_right_hand,0.000,0.734,2.493,10.084
falling_right_hand,0.020,-0.158,2.118,10.079
falling_right_hand,0.041,-0.637,2.048,9.635
falling_right_hand,0.061,-0.259,2.188,9.287
falling_right_hand,0.081,0.358,2.796,8.820
falling_right_hand,0.101,0.530,3.177,8.877
falling_right_hand,0.121,0.529,2.730,9.841
falling_right_hand,0.141,-0.023,2.501,9.251
falling_right_hand,0.162,-0.594,2.765,8.984
falling_right_hand,0.182,-0.561,3.212,9.136
falling_right_hand,0.202,-0.177,3.443,9.108
falling_right_hand,0.222,0.328,3.613,8.781
falling_right_hand,0.242,0.913,4.029,8.632
falling_right_hand,0.262,1.560,4.117,9.005
falling_right_hand,0.282,2.114,3.471,9.459
falling_right_hand,0.303,1.118,3.767,9.192
falling_right_hand,0.323,-0.535,4.438,8.396
falling_right_hand,0.343,-1.332,4.966,7.365
falling_right_hand,0.363,-2.714,4.617,5.617
falling_right_hand,0.383,-1.636,4.890,5.329
falling_right_hand,0.403,0.517,5.033,5.593
falling_right_hand,0.423,0.595,5.325,7.785
falling_right_hand,0.444,0.985,4.212,9.787
falling_right_hand,0.464,1.628,3.920,11.458
falling_right_hand,0.484,0.809,4.347,10.976
falling_right_hand,0.504,-0.658,3.376,9.518
falling_right_hand,0.524,0.435,4.354,8.902
falling_right_hand,0.544,1.194,3.932,9.385
falling_right_hand,0.565,0.417,4.083,9.180
falling_right_hand,0.585,1.081,4.934,8.768
falling_right_hand,0.605,1.614,4.752,8.707
falling_right_hand,0.625,1.385,4.327,8.573
falling_right_hand,0.645,0.633,4.256,8.669
falling_right_hand,0.665,1.016,4.427,8.364
falling_right_hand,0.685,1.763,4.388,9.235
falling_right_hand,0.706,2.234,4.347,9.338
falling_right_hand,0.726,2.614,4.522,9.326
falling_right_hand,0.746,2.370,4.457,8.824
falling_right_hand,0.766,1.833,4.287,8.336
falling_right_hand,0.786,1.495,4.105,8.161
falling_right_hand,0.806,1.498,4.145,8.098
falling_right_hand,0.827,1.725,4.219,8.471
falling_right_hand,0.847,2.057,4.187,8.711
falling_right_hand,0.867,1.963,4.183,8.516
falling_right_hand,0.887,1.639,4.252,8.094
falling_right_hand,0.907,1.644,4.344,7.937
falling_right_hand,0.927,2.054,4.448,8.149
falling_right_hand,0.947,2.405,4.492,8.318
falling_right_hand,0.968,2.495,4.460,8.410
falling_right_hand,0.988,2.495,4.435,8.706
falling_right_hand,1.008,2.428,4.392,8.812
falling_right_hand,1.028,2.234,4.295,8.601
falling_right_hand,1.048,2.081,4.165,8.596
falling_right_hand,1.068,1.840,4.001,8.295
falling_right_hand,1.088,1.587,4.083,7.934
falling_right_hand,1.109,1.255,4.047,7.693
falling_right_hand,1.129,1.347,3.973,8.182
falling_right_hand,1.149,1.443,3.810,8.860
falling_right_hand,1.169,0.979,3.478,8.577
falling_right_hand,1.189,0.387,3.417,8.104
falling_right_hand,1.209,0.061,3.497,7.572
falling_right_hand,1.230,0.247,3.562,7.515
falling_right_hand,1.250,0.717,3.631,7.747
falling_right_hand,1.270,1.024,3.562,7.901
falling_right_hand,1.290,0.885,3.433,7.553
falling_right_hand,1.310,0.388,3.415,6.824
falling_right_hand,1.330,0.004,3.466,6.154
falling_right_hand,1.350,0.215,3.556,5.834
falling_right_hand,1.371,0.776,3.556,6.103
falling_right_hand,1.391,1.283,3.234,6.658
falling_right_hand,1.411,1.324,2.858,6.934
falling_right_hand,1.431,1.045,2.991,6.332
falling_right_hand,1.451,0.855,3.337,5.496
falling_right_hand,1.471,0.608,3.330,5.449
falling_right_hand,1.491,-0.067,3.205,5.361
falling_right_hand,1.512,-0.347,3.781,4.588
falling_right_hand,1.532,-0.177,4.608,3.902
falling_right_hand,1.552,-1.342,4.655,4.155
falling_right_hand,1.572,-2.387,4.551,5.088
falling_right_hand,1.592,-1.211,4.814,5.610
falling_right_hand,1.612,0.316,4.984,5.549
falling_right_hand,1.633,0.102,4.449,6.643
falling_right_hand,1.652,-0.791,3.732,8.805
falling_right_hand,1.673,-0.103,3.799,11.185
falling_right_hand,1.693,1.609,4.542,9.984
falling_right_hand,1.713,1.822,5.960,7.682
falling_right_hand,1.733,2.110,5.688,9.288
falling_right_hand,1.753,2.440,4.101,13.844
falling_right_hand,1.774,3.063,3.235,17.171
falling_right_hand,1.794,3.527,3.677,15.256
falling_right_hand,1.814,3.863,4.872,10.569
falling_right_hand,1.834,2.981,5.168,8.826
falling_right_hand,1.854,3.371,4.741,10.418
falling_right_hand,1.874,4.235,4.665,10.911
falling_right_hand,1.895,5.054,5.738,9.840
falling_right_hand,1.915,6.636,6.215,7.858
falling_right_hand,1.935,6.163,5.796,6.343
falling_right_hand,1.955,5.012,4.833,5.649
falling_right_hand,1.975,2.052,3.761,6.554
falling_right_hand,1.995,1.852,4.439,5.558
falling_right_hand,2.015,1.694,4.684,3.591
falling_right_hand,2.036,1.246,3.369,0.743
falling_right_hand,2.056,0.377,2.779,2.688
falling_right_hand,2.076,0.698,1.774,6.453
falling_right_hand,2.096,1.055,3.417,1.168
falling_right_hand,2.116,-4.823,4.716,-1.959
falling_right_hand,2.136,-0.971,8.956,6.327
falling_right_hand,2.156,5.911,15.448,22.916
falling_right_hand,2.177,-22.680,41.149,4.043
falling_right_hand,2.197,23.978,11.559,45.087
falling_right_hand,2.217,-9.307,-30.387,103.105
falling_right_hand,2.237,-38.563,-32.379,25.267
falling_right_hand,2.257,-20.438,-13.594,-31.609
falling_right_hand,2.277,11.984,6.868,-47.310
